alley_id,alley_name,section_id,pid,from_street,to_street,surface,width_ft,slab_length_ft,slab_width_ft,construction_date,construction_year,general_condition,pci_2022_2023,pci_2024,pci_change,pci_2024_band,scheduled_build_year,in_2026_cip,length_ft,object_id,centroid_latitude,centroid_longitude
469,ALLEY 469,00,ALLEYS::469::00,175 ft S of Randolph St,Washington Blvd,AC,18,0,0,1970-06-01,1970,,38,38,0,0-39,2028,N,488.4,165,41.8821,-87.803172
466-N,ALLEY 466-N,00,ALLEYS::466-N::00,Alley 466 W,Alley 466 E,PCC,20,15,10,2017-06-01,2017,,91,91,0,80-100,,N,220.6,166,41.8826888,-87.8012007
466-S,ALLEY 466-S,00,ALLEYS::466-S::00,Alley 466 W,Alley 466 E,PCC,20,15,10,2017-06-01,2017,,86,86,0,80-100,,N,220.3,167,41.8820782,-87.8011805
466-E,ALLEY 466-E,00,ALLEYS::466-E::00,Randolph St,Washington Blvd,PCC,30,15,6,2011-06-01,2011,,90,90,0,80-100,,N,667.5,168,41.882389,-87.8007859
466-W,ALLEY 466-W,00,ALLEYS::466-W::00,Randolph St,Washington Blvd,PCC,20,12,10,1968-06-01,1968,,90,90,0,80-100,,N,665.9,169,41.8823724,-87.8015951
461,ALLEY 461,00,ALLEYS::461::00,Randolph St,Washington Blvd,PCC,24,12,6,2008-06-01,2008,,89,89,0,80-100,,N,672.5,170,41.8824231,-87.7992295
458,ALLEY 458,00,ALLEYS::458::00,Randolph St,South End,PCC,18,33,18,1925-06-01,1925,,13,27,14,0-39,2025,N,237.1,171,41.8830553,-87.7977667
457,ALLEY 457,00,ALLEYS::457::00,North End,Randolph St,PP,16,0,0,2014-06-01,2014,FAIR,,100,,80-100,,N,503.0,172,41.8840705,-87.7978
236,ALLEY 236,00,ALLEYS::236::00,Augusta St,Iowa St,PCC,16,12,10,2016-06-01,2016,,96,96,0,80-100,,N,668.1,173,41.8972521,-87.7890461
235,ALLEY 235,00,ALLEYS::235::00,Iowa St,Chicago Ave,AC,20,0,0,1971-06-01,1971,,5,5,0,0-39,,N,667.6,174,41.89542,-87.7889847
234,ALLEY 234,00,ALLEYS::234::00,Iowa St,Chicago Ave,PCC,20,12,10,2015-06-01,2015,,100,100,0,80-100,,N,666.3,175,41.8954457,-87.7873505
233,ALLEY 233,00,ALLEYS::233::00,Augusta St,Iowa St,PCC,20,36,10,1917-06-01,1917,,14,30,16,0-39,,N,666.9,176,41.8972744,-87.7874118
228,ALLEY 228,00,ALLEYS::228::00,Augusta St,Iowa St,AC,20,0,0,1977-06-01,1977,,41,41,0,40-59,,N,666.2,177,41.8972981,-87.7857728
227,ALLEY 227,00,ALLEYS::227::00,Iowa St,Chicago Ave,PCC,20,33,20,1923-06-01,1923,,21,41,20,40-59,,N,665.1,178,41.895472,-87.7857136
226-S,ALLEY 226-S,00,ALLEYS::226-S::00,N Ridgeland Ave,Cuyler Ave N,PCC,18,15,6,2009-06-01,2009,,100,100,0,80-100,,N,442.0,179,41.8953742,-87.7840872
226,ALLEY 226,00,ALLEYS::226::00,Iowa St,Alley 226 S,PCC,22,15,10,2009-06-01,2009,,94,94,0,80-100,,N,377.4,180,41.8958918,-87.7841042
218,ALLEY 218,00,ALLEYS::218::00,Iowa St,Alley 218 S,PCC,20,33,20,1924-06-01,1924,,62,65,3,60-79,,N,468.3,181,41.8957917,-87.7824751
207,ALLEY 207,00,ALLEYS::207::00,Iowa St,Alley 207 S,AC,20,0,0,1971-06-01,1971,,32,32,0,0-39,,N,466.7,182,41.895863,-87.7776093
207-S,ALLEY 207-S,00,ALLEYS::207-S::00,N Taylor Ave,N Humphrey Ave,PCC,16,15,5,2011-06-01,2011,,92,92,0,80-100,,N,441.6,183,41.8952228,-87.7775889
208,ALLEY 208,00,ALLEYS::208::00,Iowa St,Alley 208 S,PCC,20,15,10,2016-06-01,2016,,94,94,0,80-100,,N,467.2,184,41.8958388,-87.7792318
208-S,ALLEY 208-S,00,ALLEYS::208-S::00,NLombard Ave,N Taylor Ave,PCC,16,15,5,2009-06-01,2009,,95,95,0,80-100,,N,441.7,185,41.895198,-87.7792104
217-S,ALLEY 217-S,00,ALLEYS::217-S::00,N Harvey Ave,N Lombard Ave,PCC,16,12,8,2018-06-01,2018,,94,94,0,80-100,,N,442.3,186,41.8951738,-87.7808322
217,ALLEY 217,00,ALLEYS::217::00,Iowa St,Alley 217 S,PCC,24,15,10,2018-06-01,2018,,98,98,0,80-100,,N,467.7,187,41.8958154,-87.7808541
314,ALLEY 314,00,ALLEYS::314::00,Chicago Ave,Superior St,PCC,20,15,10,1974-06-01,1974,,98,98,0,80-100,,N,538.2,189,41.8939582,-87.7808008
313,ALLEY 313,00,ALLEYS::313::00,Chicago Ave,Superior St,PCC,18,33,18,1924-06-01,1924,,15,33,18,0-39,,N,538.7,190,41.8939821,-87.7791716
313-W,ALLEY 313-W,00,ALLEYS::313-W::00,N Lombard Ave,Alley 313,PCC,18,33,18,1900-01-01,1900,,15,40,25,40-59,,N,220.7,191,41.8941071,-87.7795807
305,ALLEY 305,00,ALLEYS::305::00,Alley 305 N,Superior St,PCC,20,12,10,2016-06-01,2016,,94,94,0,80-100,,N,341.3,192,41.8936697,-87.7775377
305-N,ALLEY 305-N,00,ALLEYS::305-N::00,N Taylor Ave,N Humphrey Ave,PCC,15,10,6,2016-06-01,2016,,89,89,0,80-100,,N,442.9,193,41.8941379,-87.7775521
218-S,ALLEY 218-S,00,ALLEYS::218-S::00,N Cuyler Ave,N Harvey Ave,PCC,14,33,14,1900-01-01,1900,,13,33,20,0-39,,N,442.2,194,41.8951494,-87.7824544
323,ALLEY 323,00,ALLEYS::323::00,Chicago Ave,Superior St,PCC,20,33,20,1926-06-01,1926,,25,46,21,40-59,,N,469.6,195,41.8938769,-87.7824124
324-N,ALLEY 324-N,00,ALLEYS::324-N::00,N Ridgeland Ave,Cuyler Ave N,PCC,18,12,8,2018-06-01,2018,,97,97,0,80-100,,N,442.1,197,41.8940421,-87.784046
324,ALLEY 324,00,ALLEYS::324::00,Alley 324 N,Superior St,PCC,18,15,10,2018-06-01,2018,,98,98,0,80-100,,N,340.6,198,41.893575,-87.7840322
200,ALLEY 200,00,ALLEYS::200::00,Iowa St,Alley 200 S,PCC,20,10,10,2022-05-01,2022,,100,100,0,80-100,,N,466.2,199,41.8958872,-87.7759871
200-S,ALLEY 200-S,00,ALLEYS::200-S::00,N Humphrey Ave,N Austin Blvd,PCC,15,10,5,1971-06-01,1971,,90,90,0,80-100,,N,442.4,200,41.8952478,-87.7759655
304-N,ALLEY 304-N,00,ALLEYS::304-N::00,Alley 304,N Austin Blvd,PCC,15,30,15,1900-01-01,1900,,15,33,18,0-39,2025,N,222.0,201,41.8941691,-87.77552
304,ALLEY 304,00,ALLEYS::304::00,Alley 304 N,Superior St,PCC,20,32,10,1922-06-01,1922,,35,53,18,40-59,2025,N,341.5,202,41.8936945,-87.7759105
303,ALLEY 303,00,ALLEYS::303::00,Superior St,Alley 303 E,PCC,20,30,10,1971-06-01,1971,,23,44,21,40-59,2026,Y,189.7,203,41.8929659,-87.7758853
306,ALLEY 306,00,ALLEYS::306::00,Superior St,Erie St,AC,20,0,0,1976-06-01,1976,,37,37,0,0-39,,N,500.6,204,41.8925148,-87.7775034
325,ALLEY 325,00,ALLEYS::325::00,Superior St,Erie St,PCC,20,33,10,1900-01-01,1900,,33,50,17,40-59,,N,501.1,205,41.8924204,-87.7839987
326,ALLEY 326,00,ALLEYS::326::00,Erie St,Ontario St,PCC,20,33,10,1923-06-01,1923,,25,46,21,40-59,,N,494.6,206,41.8910545,-87.7839621
322,ALLEY 322,00,ALLEYS::322::00,Superior St,Erie St,PCC,20,12,6,2017-06-01,2017,,96,96,0,80-100,,N,500.7,207,41.8924443,-87.7823746
315,ALLEY 315,00,ALLEYS::315::00,Superior St,Erie St,PCC,22,12,6,2005-06-01,2005,,94,94,0,80-100,,N,500.4,208,41.8924681,-87.7807555
312,ALLEY 312,00,ALLEYS::312::00,Superior St,Erie St,PCC,22,12,8,2013-06-01,2013,,92,92,0,80-100,,N,500.3,209,41.8924914,-87.7791279
311,ALLEY 311,00,ALLEYS::311::00,Erie St,Ontario St,PCC,20,33,20,1924-06-01,1924,,19,41,22,40-59,,N,496.2,210,41.8911245,-87.7790869
316,ALLEY 316,00,ALLEYS::316::00,Erie St,Ontario St,PCC,20,33,20,1923-06-01,1923,,25,50,25,40-59,,N,495.9,211,41.8911014,-87.7807142
303-E,ALLEY 303-E,00,ALLEYS::303-E::00,Alley 303,N Austin Blvd,PCC,18,25,15,1900-01-01,1900,,71,74,3,60-79,2026,Y,222.5,212,41.8927112,-87.7754687
366,ALLEY 366,00,ALLEYS::366::00,Erie St,Ontario St,PCC,22,10,6,2003-06-01,2003,,88,88,0,80-100,,N,463.8,213,41.8912603,-87.8011424
372,ALLEY 372,00,ALLEYS::372::00,N Harlem Ave,East End,PCC,18,10,6,1926-06-01,1926,,81,81,0,80-100,,N,469.3,214,41.8892434,-87.8042258
367,ALLEY 367,00,ALLEYS::367::00,West End,Forest Ave,PP,20,0,0,2014-06-01,2014,GOOD,,100,,80-100,,N,450.9,215,41.8893421,-87.8010168
468,ALLEY 468,00,ALLEYS::468::00,Washington Blvd,Alley 468 S,AC,18,0,0,1970-06-01,1970,,58,58,0,40-59,,N,493.6,216,41.8807528,-87.8031366
467-W,ALLEY 467-W,00,ALLEYS::467-W::00,Washington Blvd,Madison St,PCC,20,10,6,1929-06-01,1929,,85,85,0,80-100,,N,660.3,217,41.8805462,-87.80153
467-E,ALLEY 467-E,00,ALLEYS::467-E::00,Washington Blvd,Lincoln Trl,PCC,22,12,7,2007-06-01,2007,,93,93,0,80-100,,N,224.4,218,41.8811656,-87.8007451
467-E,ALLEY 467-E,05,ALLEYS::467-E::05,Lincoln Trl,Baldwin Ln,PCC,22,12,7,2007-06-01,2007,,94,93,-1,80-100,,N,221.9,219,41.8805535,-87.8007223
