pin,year,class,township_code,township_name,nbhd,mailed_bldg,mailed_land,mailed_tot,certified_bldg,certified_land,certified_tot,board_bldg,board_land,board_tot,building_sqft,land_sqft,year_built,units,beds,full_baths,half_baths,cards,residential_type,sqft_source,condo_building_sqft,condo_pct_ownership,condo_est_unit_sqft,is_parking_or_common,prop_address,prop_city,prop_zip,address_year
16063090170000,2026,205,27,Oak Park,27020,57323,15677,73000,57323,15677,73000,,,,1928,9222,1904,1,3,2,1,1,2 Story,improvement,,,,,727 FOREST AVE,OAK PARK,60302,2026
16063090180000,2026,278,27,Oak Park,27020,96210,14790,111000,96210,14790,111000,,,,3081,8700,2000,1,4,3,1,1,2 Story,improvement,,,,,723 FOREST AVE,OAK PARK,60302,2026
16063090190000,2026,205,27,Oak Park,27020,60435,16565,77000,60435,16565,77000,,,,2016,9744,1888,1,4,2,0,1,2 Story,improvement,,,,,719 FOREST AVE,OAK PARK,60302,2026
16063090200000,2026,203,27,Oak Park,27020,40295,14705,55000,40295,14705,55000,,,,1200,8650,1910,1,3,2,0,1,1 Story,improvement,,,,,715 FOREST AVE,OAK PARK,60302,2026
16063090210000,2026,203,27,Oak Park,27020,46124,7876,54000,46124,7876,54000,,,,1346,4633,1923,1,3,2,1,1,1.5 Story,improvement,,,,,1028 AUGUSTA ST,OAK PARK,60302,2026
16063090220000,2026,203,27,Oak Park,27020,36200,7800,44000,36200,7800,44000,,,,1308,4588,1921,1,3,1,0,1,1 Story,improvement,,,,,1024 AUGUSTA ST,OAK PARK,60302,2026
16063090230000,2026,203,27,Oak Park,27020,43200,7800,51000,43200,7800,51000,,,,1310,4588,1922,1,4,1,0,1,1 Story,improvement,,,,,1022 AUGUSTA ST,OAK PARK,60302,2026
16063090240000,2026,205,27,Oak Park,27020,59200,7800,67000,59200,7800,67000,,,,1912,4588,1922,1,4,2,0,1,2 Story,improvement,,,,,1018 AUGUSTA ST,OAK PARK,60302,2026
16063090250000,2026,203,27,Oak Park,27020,48730,5270,54000,48730,5270,54000,,,,1470,3100,1898,1,3,2,0,1,1.5 Story,improvement,,,,,1016 AUGUSTA ST,OAK PARK,60302,2026
16063090310000,2026,206,27,Oak Park,27020,79253,7747,87000,79253,7747,87000,,,,2371,4557,1940,1,4,3,1,1,2 Story,improvement,,,,,701 FOREST AVE,OAK PARK,60302,2026
16063090320000,2026,278,27,Oak Park,27020,87744,19256,107000,87744,19256,107000,,,,2786,11327,2000,1,4,2,1,1,2 Story,improvement,,,,,1017 THOMAS ST,OAK PARK,60302,2026
16063090330000,2026,211,27,Oak Park,27020,47820,9180,57000,47820,9180,57000,,,,2318,5400,1899,3,6,3,0,1,2 Story,improvement,,,,,740 BELLEFORTE AVE,OAK PARK,60302,2026
16063090340000,2026,206,27,Oak Park,27020,91686,14314,106000,91686,14314,106000,,,,3114,8420,1912,1,4,3,0,1,2 Story,improvement,,,,,1012 AUGUSTA ST,OAK PARK,60302,2026
16063090350000,2026,205,27,Oak Park,27020,58637,7363,66000,58637,7363,66000,,,,1892,4331,1941,1,4,2,0,1,2 Story,improvement,,,,,703 FOREST AVE,OAK PARK,60302,2026
16063090360000,2026,205,27,Oak Park,27020,63889,7111,71000,63889,7111,71000,,,,1932,4183,1940,1,4,1,1,1,2 Story,improvement,,,,,705 FOREST AVE,OAK PARK,60302,2026
